Feature,User Story,Acceptance Criteria
Mobile Number Login via OTP,"As a user, I want to log in using my mobile number and an OTP, so that I can access my wallet securely without needing a password.",User enters valid mobile number; OTP sent via SMS; OTP expires after 60 seconds; Max 5 attempts/hour; Successful login on valid OTP; Error on invalid/expired OTP.
Session Persistence,"As a returning user, I want to stay logged in on my device, so I don’t need to re-enter OTP every time.",Session persists for 7 days; Prompts login after expiration; Multiple devices tracked and limited.
View Wallet Balance,"As a user, I want to see my current wallet balance, so I know how much I can use on machines.",Wallet balance is visible; Updates in real time; Includes returned credits.
Cash In via GCash,"As a user, I want to cash in using GCash, so that I can load funds to my wallet conveniently.",Top-Up initiates GCash flow; Redirects to GCash; Wallet updates post-confirmation; Shows success/failure; Enforces daily limit.
View Wallet Transaction History,"As a user, I want to view all my GCash top-ups and wallet activity, so I can track my spending.","Shows list with timestamp, amount, GCash ID, status; Can filter by date."
Connect to Machine via QR/NFC,"As a user, I want to link my wallet to a casino machine using QR or NFC, so I can transfer credits directly.",App prompts QR/NFC; Creates session; Displays machine ID and session time; Only one session allowed.
Send Credits to Machine,"As a user, I want to transfer credits from my wallet to the machine, so I can start playing.",Enter amount; Wallet debited; Machine credited; Enforces limits.
View Active Session,"As a user, I want to see my current machine session, so I can track how much I’m spending.","Shows machine ID, credits, time; Option to end."
Pull Credits from Machine,"As a user, I want to retrieve unused credits from the machine back to my wallet, so I don’t lose my remaining balance.",Allows manual/auto session end; Returns unused credits; Confirms success; Logs transaction.
Receive Notifications,"As a user, I want to get real-time alerts for transactions and sessions, so I stay informed.","Alerts for top-up, credit sent, session end; Push/SMS optional."
Earn Points for Top-Ups,"As a user, I want to earn loyalty points when I cash in, so I feel rewarded for my activity.","Precondition: User must be registered

Earn 1 pt/₱10000; Points shown in dashboard; Update instantly."
Earn Points for Playing,"As a user, I want to earn loyalty points when I play, so I feel rewarded for my activity.","Precondition: User must be registered

Earn 1 pt/50 spins; Points shown in dashboard; Update instantly."
